"","theta","b","lambda","pr","pradj","cr","cradj","type"
"70",0.15,0.333333333333333,0.1,0.162484375756,0.420326582068621,0.113146356526258,0.1290680008696,"formula"
"71",0.2,0.333333333333333,0.1,0.254923254172124,0.649971637746159,0.322771035956317,0.381458838062036,"formula"
"72",0.25,0.333333333333333,0.1,0.369244528459098,0.834361737463721,0.614105657565129,0.70107839141793,"formula"
"73",0.3,0.333333333333333,0.1,0.496555943046126,0.940365338287326,0.850838415795805,0.912555494236347,"formula"
"74",0.35,0.333333333333333,0.1,0.624222159604315,0.983989557267003,0.963275939134559,0.98558550186691,"formula"
"75",0.4,0.333333333333333,0.1,0.739501903149377,0.996837620708996,0.994457947288659,0.998714990186787,"formula"
"76",0.45,0.333333333333333,0.1,0.833236075416133,0.999544650762731,0.999499127199768,0.999939509419511,"formula"
"77",0.5,0.333333333333333,0.1,0.90186543522957,0.99995250708682,0.999973278502994,0.999998517904378,"formula"
"78",0,0.333333333333333,0.3,0.025,0.025,5.23639514600772e-11,2.03252623243722e-12,"formula"
"79",0.05,0.333333333333333,0.3,0.051051554499294,0.0847733173441132,5.65000418589023e-09,5.11611399869606e-10,"formula"
"80",0.1,0.333333333333333,0.3,0.0951790747077629,0.21553556464206,3.52531251587349e-07,6.58053849847631e-08,"formula"
"81",0.15,0.333333333333333,0.3,0.162484375756,0.420326582068621,1.27705700142084e-05,4.34513613400554e-06,"formula"
"82",0.2,0.333333333333333,0.3,0.254923254172124,0.649971637746159,0.000270123820487829,0.000148285797148272,"formula"
"83",0.25,0.333333333333333,0.3,0.369244528459098,0.834361737463721,0.00336452572307238,0.00264257242351785,"formula"
"84",0.3,0.333333333333333,0.3,0.496555943046126,0.940365338287326,0.0250000000000001,0.0250000000000001,"formula"
"85",0.35,0.333333333333333,0.3,0.624222159604315,0.983989557267003,0.113146356526258,0.1290680008696,"formula"
"86",0.4,0.333333333333333,0.3,0.739501903149377,0.996837620708996,0.322771035956317,0.381458838062036,"formula"
"87",0.45,0.333333333333333,0.3,0.833236075416133,0.999544650762731,0.614105657565129,0.70107839141793,"formula"
"88",0.5,0.333333333333333,0.3,0.90186543522957,0.99995250708682,0.850838415795805,0.912555494236347,"formula"
